"CD_PROT_ECHANTILLONNAGE";"CD_PROTOCOLE";"UNITE";"NB_UNITE";"DUREE";"TAILLE";"PASSAGES_AN";"PERIODE_AN";"PLAN_ECH";"COMMENTAIRE";"NIVEAU"
164002;164;"Tronçon";"20 (minimum)";;"30 m";"3";"saison de reproduction";"Subjectif/orienté";"3 passages sur 1 semaine. La période la plus favorable pour détecter les larves et adultes d’euproctes dans les cours d’eau dépend des régions.";"2"
166;166;"Placette (cercle)";"1/ha";"10 à 15'";"0,2 ha";;;"Systématique";"surface totale = 2,5 ha minimum.";"1"
167;167;"Polygone (tout le peuplement)";;"15 à 20'/ha";;;;"Subjectif/orienté";"Tout le peuplement est parcouru de manière homogène, en virées régulières réparties selon le relief.";"1"
168;168;"Itinéraire choisi";"1/peuplement";"15 à 20'/ha";"au moins 15 % du
peuplement et au moins 1 ha.";;;"Systématique";;"1"
169;169;"Placette (cercle)";"5 à 7/peuplement";"15 à 20'/ha";"1 ha";;;"Systématique";;"1"
170;170;"Itinéraire choisi";;"5 km/h";"25 m (minimum), sur une distance maximale de 10m vers l'intérieur du plan d'eau et jusqu'à une profondeur de maximum 2m";"1";"printemps ou été";"Systématique";"Le protocole prévoit l'échantillonnage du plan d'eau dans son intégralité.";"1"
171;171;"Itinéraire choisi";;"5 km/h";"5m (minimum), s'étend de 1m au-dessus et jusqu'à 5m au-dessous de l’interface terre-eau.";"1";"printemps ou été";"Systématique";"Le protocole prévoit l'échantillonnage du plan d'eau dans son intégralité.";"1"
172;172;"Point d'échantillonnage";"3/profondeur";;"1000 cm2";"1";"pendant la période estivale durant laquelle le développement des mollusques est optimal.";"Subjectif/orienté";"Les prélèvements sont réalisés à 3 hauteurs d'eau différentes.";"1"
173;173;"Point d'échantillonnage";"10 (5 sur substrat minéral dur, 5 sur les tiges de macrophytes).";;;;"période précisée dans la norme XP T90-328";"Aléatoire simple";;"1"
175;175;"Point";"3/lieu";;"0,26 m²  (intertidal); 0,9 m² (subtidal)";"3 passages, 3 prélèvements/passage";"15/02 au 30/04 (MEC); 01/09 au 31/10 (MET)";"Subjectif/orienté";"Distance entre le centre du lieu et le centre du passage d'au moins 200m.";"1"
176;176;"Station";"1 à 3/masse d'eau";;;;"février à mai (Manche et Bretagne);  août - septembre (Nouvelle-Aquitaine).";"Subjectif/orienté";;"1"
176002;176;"Point";"3/station";;;;;"Subjectif/orienté";;"2"
176003;176;"Carré";"2/point";;"0,1 m² (ou 2x 0,04m2)";;;"Aléatoire simple";;"3"
177;177;"Polygone";;;;"1";"printemps/début d' été à l'automne";"Aléatoire simple";"surface rattachée à l’habitat";"1"
177002;177;"Placette (carré)";;;"10 m2";;;"Aléatoire simple";;"2"
178;178;"Polygone";;;;"1";"août-septembre";"Aléatoire simple";"surface rattachée à l’habitat";"1"
178002;178;"Placette (carré)";"1/polygone";;"1 à 10 m2";;;"Aléatoire simple";;"2"
179;179;"Polygone";;;;"1";"avril/juin (méditerranée); mars/avril (Atlantique)";"Aléatoire simple";"surface rattachée à l’habitat";"1"
179002;179;"Placette (carré)";"1/polygone";;"3 à 25 m2";;;"Aléatoire simple";;"2"
180;180;"Polygone";;;;"1";"juillet pour les mares et mouillères; août/septembre pour les grandes étendues d’eau";"Aléatoire simple";"surface rattachée à l’habitat";"1"
180002;180;"Placette (carré)";"1/polygone";;"1 à 10 m2";;;"Aléatoire simple";;"2"
181;181;"Polygone";;;;"1";"juin en plaine, juillet en altitude";"Aléatoire simple";"surface rattachée à l’habitat";"1"
181002;181;"Placette (carré)";"1/polygone";;"1 à 10 m2";;;"Aléatoire simple";;"2"
182;182;"Polygone";;;;"1";"début d’été à l'automne";"Aléatoire simple";"surface rattachée à l’habitat";"1"
182002;182;"Placette (carré)";"1/polygone";;"10 m2";;;"Aléatoire simple";;"2"
183;183;"Polygone (habitat)";;;;;"au printemps et à la fin de l’été";"Aléatoire simple";;"1"
183002;183;"Station (lagune)";;"30'";;;;"Stratifié";;"2"
184;184;"Polygone";;;;"1";"mai/début juin";"Aléatoire simple";"surface rattachée à l’habitat";"1"
184002;184;"Placette (carré)";"1/polygone";;"3 m2";;;"Aléatoire simple";;"2"
185;185;"Transect";">10/1000ha";;"50m de largeur; longeur variable (plusieurs dizaines de m à plusieurs centaines de m).";"1";"mai-juin";"Systématique";"Distance de 500 à 1000m entre les transects.";"1"
185002;185;"Placette";"> 1 à 3/transect (selon type de dune)";;"15-20 m²";"1";"mai-juin";"Subjectif/orienté";"Echelle de la placette pour les indicateurs de : composition floristique ; composition faunistique ;  recouvrement de la strate herbacée.";"2"
186;186;"Placette (cercle)";;;"1250 m² (cercle de 20m de rayon)";;;"Aléatoire simple";;"1"
187;187;"Polygone";;;;;;"Subjectif/orienté";" polygone d’habitat";"1"
187002;187;"Placette ou transect";"1/polygone";;"5x5m à 15x15m";;;"Aléatoire simple";;"2"
188;188;"Polygone";;"10'";;"2";" première fois dans la deuxième quinzaine de mai, deuxième fois avant la fauche pour les prairies et dans la deuxième quinzaine de juin.";"Subjectif/orienté";" pour les indicateurs lépidoptères diurnes.";"1"
188002;188;"Point (piège)";"2 à 4";;"30x30cm";;"mai à juin (méditerranée); août à 
septembre (atlantique et continental); juin à juillet (alpine montagnarde).";"Subjectif/orienté";" pour l'évaluation du critère ‘gros coléoptères exigeants’";"2"
189;189;"Polygone";;;;;;"Subjectif/orienté";" polygone d’habitat";"1"
189002;189;"Placette ou transect";"1/polygone";;"5x5m à 15x15m";;;"Aléatoire simple";;"2"
190;190;"Polygone";;;;;;"Subjectif/orienté";" polygone d’habitat";"1"
190002;190;"Placette ou transect";"1/polygone";;"5x5m à 15x15m";;;"Aléatoire simple";;"2"
193;193;"Tronçon";"10 au minimum";;"500m de long, 100m de large";;;"Aléatoire simple";;"1"
194;194;"Transect";"20/habitat";;"10 m";"2 semaines";"15/07 au 08/08";"Subjectif/orienté";;"1"
194002;194;"Point";;;"5 cm de rayon";;;"Systématique";"Espacés de 50 cm, alignés sur le transect";"2"
195;195;"Carré (placette)";;;"10x10 m";;;;;"1"
196;196;"Polygone";;;;;;"Subjectif/orienté";;"1"
196002;196;"Placette";;;;;;"Subjectif/orienté";;"2"
196003;196;"Point de relevé";;;"5x5m, ou 50cm de rayon";;;"Subjectif/orienté";;"3"
197;197;"Rectangle (grille)";"3";;"50 cm2 (5 carrés alignés de 10x10 cm)";"Autant que souhaité";"Toute l’année";"Subjectif/orienté";"Sur 3 arbres espacés de 2 à 10m, grille placée à 1m du sol.";"1"
