"CD_PROT_ECHANTILLONNAGE";"CD_PROTOCOLE";"UNITE";"NB_UNITE";"DUREE";"TAILLE";"PASSAGES_AN";"PERIODE_AN";"PLAN_ECH";"COMMENTAIRE";"NIVEAU"
18003;18;"Points/transecte";"environ 7 000 points visités chaque année";;"12 m";"1/an. Point revisité tous les 5 ans";;"Aléatoire simple";;"3"
19;19;"Rectangle (grille)";"3";;"50 cm2 (5 carrés alignés de 10x10 cm)";"Autant que souhaité";"Toute l’année";"Subjectif/orienté";"Sur 3 arbres espacés de 2 à 10m, grille placée à 1m du sol.";"1"
20;20;"Rectangle (grille)";"3";;"50 cm2 (5 carrés alignés de 10x10 cm)";"Autant que souhaité";"Toute l’année";"Subjectif/orienté";"Sur 3 arbres espacés de 2 à 10m, grille placée à 1m du sol.";"1"
22;22;"Transect";;"2 à 3h";"<2km";"idéalement 1/jour";"01/04 au 30/09";"Subjectif/orienté";"1 observateur";"1"
22002;22;"Ligne";"15 maximum/transecte";;"100 à 200m";;;"Systématique";;"2"
25;25;"Transect";"Doit concerner 10% des mailles à minima pour chaque
département.";"2h";"3 à 4 km";"2";"01/12 au 31/01";"Subjectif/orienté";"Transect déterminé à l’intérieur d’un carré échantillon de 2x2 Km situé au centre de chaque maille atlas 10
x10 Km.";"1"
26;26;"Point d’observation (nichoir)";"2";"5' à 10'";;"1/mois au mimimum";"mars à octobre";"Subjectif/orienté";;"1"
27;27;"Carré (placette)";"3";"3h (1h par m2)";"1 m2";"Tous les 3 ans";"01/01 au 15/03 (sud) ou 15/04 (nord). Matin";"Subjectif/orienté";"Placettes en ligne, espacées de 2 à 6m.";"1"
28;28;"Carré (planche)";"3";"15' à 30'";"30x50 cm";"1/mois";"mars à novembre. Matin";"Subjectif/orienté";"Planches espacées de 50m.";"1"
29;29;"Transect";"1";"10'";"100 à 300 m";"3 à 5/an";"01/05 au 30/09. Entre 11h et 17h.";"Subjectif/orienté";;"1"
30;30;"Carré (planche)";"1 ou plus";;;"3/an";"mars à octobre";"Subjectif/orienté";;"1"
31;31;"Carré (planche)";"1 ou plus";;;"3/an";"mars à octobre";"Subjectif/orienté";;"1"
32;32;"Point d’observation (jardin/balcon);";"1";"5'";;"1/semaine ou plus";"Toute l’année";"Subjectif/orienté";;"1"
33;33;"Point d’observation (jardin/balcon)";"1";;;"1/semaine ou plus";"Toute l’année";"Subjectif/orienté";;"1"
34;34;"Itinéraire";"1/maille (179 mailles)";"3h30 (± 20')";"2,5 km";"3";"20/04-7/05 au 20/07-15/08 (phase 1); 08/05-01/06 au 16/08-05/09 (phase 2); 02/06-20/06 au 06/09-25/09 (phase 3)";"Systématique";"Parcours au sein de chaque maille 2x2 Km";"1"
34002;34;"Cercle";"8/maille";"Se termine lorsque 2-3min s'écoulent sans détection de nouveaux taxons.";"10 m2";"3";"20/04-7/05 au 20/07-15/08 (phase 1); 08/05-01/06 au 16/08-05/09 (phase 2); 02/06-20/06 au 06/09-25/09 (phase 3)";"Systématique";;"2"
35;35;"Carré";"3";"15' x 3 arrosages par carré";"1 m2";;"janvier à avril. Matin";"Subjectif/orienté";"3  zones d’échantillonnage de 1 m² espacées deux à deux de 6 mètres et situées à au moins 10 m du bord du champ, en ligne.";"1"
36;36;"Carré";"3";"15' (x 2 arrosages par carré)";"1 m2";;" janvier à avril";"Subjectif/orienté";"3  zones d’échantillonnage de 1 m² espacées deux à deux de 6 mètres et situées à au moins 10 m du bord du champ, en ligne.";"1"
37;37;"Bloc de sol";"3";;"25 x 25 x 20 cm";;"Janvier – Avril";"Subjectif/orienté";"Bloc de sol extrait au centre de chacune des 3 placettes de 1 m² espacées de 6m.";"1"
38;38;"Panier";"4 (dont 1 témoin)";"10' à 15'";"30x50x10 cm";"Tous les 15 jours";"octobre à mars";"Subjectif/orienté";"4 paniers en ligne espacées de 1 m";"1"
39;39;"Bloc de sol";"6";"30' à 45' par bloc";"20 x 20 x 25 cm";;"janvier à avril";"Subjectif/orienté";;"1"
41;41;"Aire échantillon";"1";"3h à 4h maximum";;"3";"01/02 au 01/07";"Subjectif/orienté";;"1"
41002;41;"Site aquatique";"3 à 10 / aire";"10' à 15' pour 50-100 m2 + 5' de point d'écoute";;;;"Subjectif/orienté";;"2"
42;42;"Tronçon";"20/aire";"<4h au total par aire";"30m minimum";"3";;"Subjectif/orienté";"La période la plus favorable pour détecter les larves de salamandre dans les cours d’eau
dépend des régions.";"1"
43;43;"Aire échantillon";;"3h à 4h";;"3";"avril-mai";"Subjectif/orienté";"3 à 10 sites aquatiques par aire";"1"
43002;43;"Point d’échantillonnage";"Dépend du nombre et taille des sites échantillonnés";"2h à 3h ou 1 soirée";;;;"Systématique";"Points d'échantillonnage espacés de 10m.";"2"
46;46;"Aire";;"3h à 4h maximum";;"3";"avril-mai";"Subjectif/orienté";"3 à 10 sites aquatiques par aire";"1"
46002;46;"Point d’échantillonnage";" 1 nasse dans les
très petits sites < 10 m², 3 nasses par site > 10 m² < 100 m², 3 nasses par segments de site >
100 m²";"2h à 3h ou 1 soirée";;;;"Subjectif/orienté";"Points d'échantillonnage espacés de 10m.";"2"
49;49;"Transect";"1 à 5 /aire";;"60 à 150m";"6 (minimum)";"mars à juin";"Subjectif/orienté";" Transects de quatre plaques espacées de 20 à 50m";"1"
50;50;"Transect";"1 à 5 /aire";;"60 à 150m";"6 (minimum)";"mars à juin";"Subjectif/orienté";"Tous les ans. Déplacer les transects au sein des sites suivis tous les 2 ans.";"1"
51;51;"Transect";">10 par site";;"60 à 150m";;"mars à juin";"Subjectif/orienté";"Transects espacés de 50m au minimum.";"1"
52;52;"Unité de capture";"Autant que possible";"6h";"36 m (3 filets alignés de 12 m)";"10j/an minimum";"Juillet à octobre, en migration post-nuptiale";"Subjectif/orienté";;"1"
53;53;"Carré";"2";"2h";"2x2 m";"minimum 1";"mai-juin et septembre-octobre";"Subjectif/orienté";;"1"
54;54;"Points d'échantillonnage";"maximum 10/aire d'étude";"5' d'écoute puis placer les pièges pour la nuit";;"3 sessions";"février à mars; mai; juillet.";"Subjectif/orienté";"1 point d'échantillonnage correspond à un lot de 3 Amphicapts séparés de 5m et 1 point d'écoute.";"1"
55;55;"Transect";"3/habitat";"1h/habitat";"150m";"6";"avril à juin";"Subjectif/orienté";"3 transects de 4 plaques espacées de 50 m.";"1"
56;56;"Piège";"2 (espacés de 20 à 30m)";;;"tous les 15j, pendant 3 ans minimum";"mai à juillet";"Subjectif/orienté";;"1"
57;57;"Transect";"20/maille";" 5 à 12h/maille";"100 m";"1";"printemps-été";"Subjectif/orienté";"Maille 10x10 km subdivisée en 25 carrés de 2x2 km. Dans chaque
maille 10x10 km, 20 transects sont positionnés, chacun dans un carré de 2x2 km
différent.";"1"
58;58;"Aire d'échantillonnage (mare)";;"1h à 1h30";;"2";"printemps et automne";"Subjectif/orienté";;"1"
59;59;"Itinéraire choisi (patrouille)";;;;"tous les 2j minimum";"Toute l’année";"Subjectif/orienté";"2 personnes (conducteur et observateur)";"1"
60;60;"Placette";"30";"5' à 15'";;"1 ou 2 pour les macrophytes aquatiques, 1/semaine pour les odonates.";"mai à septembre";"Stratifié";;"1"
61;61;"Placette";"1/ha (recommandé)";"8 placettes/j";">20m de rayon";;;"Systématique";"2 personnes au minimum. Dans le cas des « grandes » réserves, il convient au préalable d’examiner l’intérêt de procéder à un découpage du domaine d’inventaire en strates.";"1"
62;62;"Placette";"1/ha (recommandé)";"8 placettes/j";">20m de rayon";;;"Systématique";"2 personnes au minimum. Dans le cas des « grandes » réserves, il convient au préalable d’examiner l’intérêt de
procéder à un découpage du domaine d’inventaire en strates.";"1"
63;63;"Point d'échantillonnage";">20";"4h/observateur pour 15 à 20 points";"150 m de rayon d'observation";"3 ou 4";"décembre à fin mars";"Aléatoire simple";;"1"
64;64;"Placette";"100/transect";"1'";"0,5 m2";"1";"floraison de l'espèce";"Subjectif/orienté";"Les placettes sont disposées le long de transects qui traversent l’Aire de Présence de façon à représenter au mieux la variabilité de l’espèce au sein de la station. 2 transects au minimum.";"1"
65;65;"Zone de recensement";"1";"Journée";"Unité géographique sur laquelle vit la totalité de la population.";;"juin-juillet";"Subjectif/orienté";" Il faut mobiliser le plus souvent un très
grand nombre de participants.";"1"
66;66;"Carré";"30 au minimum";"2h pour 30 relevés";"25x25 cm";"1";"septembre";"Subjectif/orienté";"Le long d'un transect de direction connue, des quadrats sont placés tous les 2 à 5 m. (suivant la configuration de la roselière, plusieurs
petits transects peuvent être réalisés au lieu d'un seul.";"1"
69;69;"Carré ou cerlce";" 8 + (n - 8)/2 (pour un parc à n éoliennes)";"30' à 45'";"100x100 m ou rayon de 50 m";"20 (minimum)";"mi mai à octobre";"Aléatoire simple";;"1"
70;70;"Carré";"20";"5'";"2 à 3 cm de profondeur, 33x33 cm";"1";"juin- début juillet";"Subjectif/orienté";;"1"
71;71;"Point d’échantillonnage (apât)";"100 (70 au minimum)";"30' (x2 relevés séparés d'1h)";"rayon de 10cm";"2 relevés sur 1j";" 15/04 au 15/07";"Subjectif/orienté";"Les appâts sont placés à 4 m en transects.";"1"
72;72;"Carré";"1 pour chaque maille 10x10km";"6 à 8h";"5x5 km";;"15/04 au 15/10";"Systématique";;"1"
73;73;"Transect";;"4h";"8 km";"2 (1 au milieu et 1 ç la fin de la saison humide)";"saison des pluies";"Subjectif/orienté";;
74;74;"Placette";"213";"1h30 maximum";"20 m de rayon";"1";"automne";"Aléatoire simple";"2 personnes. 4 à 6 placettes/j";"1"
75;75;"Point d'écoute";"25 points par carré de 25 km2";"8'";"500 m de rayon de détection";"2";"1/02 au 01/03 ou 15/02 au 15/03 (1er passage); 15/05 au 15/06 (2e passage)";"Systématique";"2007 carrés centraux répartis en France, 25 points d'écoute répartis tous les km au sein de chaque carré. La réalisation de la totalité
des points d’écoute d’un carré demande 2 à 3 soirées par passage.";"1"
76;76;"Transect";"1";"10'";"100 à 300 m";"3";"01/06; 05/07; 10/08";"Subjectif/orienté";;"1"
77;77;"Point d'échantillonnage (filet)";;;;"1/semaine, 10 semaines";"Période de migration des espèces-ciblées.";"Subjectif/orienté";"Il est recommandé de maintenir à l’identique la pression de capture (nombre de dispositifs de capture, durée de session) et le type de pièges utilisés au sein d’une période de migration.";"1"
78;78;"Point d'échantillonnage (filet)";">10/station";;;">10j consécutifs";"Période de migration des espèces-ciblées.";"Subjectif/orienté";"Il est recommandé de maintenir à l’identique la pression de capture (nombre de dispositifs de capture, durée de session) et le type de pièges utilisés au sein d’une période de migration.";"1"
79;79;"Point d'échantillonnage (filet)";"3/ligne, 3 lignes";"4h par session";"12m";"1/semaine (minimum)";"01/10 au 30/11";"Subjectif/orienté";"3 lignes de 3 filets de 12 m";"1"
81;81;"Site (nichoirs)";"20";;;"suivre la zone sur 5 ans.";"avril à septembre";"Subjectif/orienté";;"1"
84;84;"Itinéraire aléatoire";"1/habitat";"demi-journée pour 2ha avec 2 personnes";;"1 à 3";"septembre à décembre";"Aléatoire simple";"2 ha par mycologue pour une demi-journée de prospection.";"1"
87;87;"Point d'échantillonnage (filet)";"5/ha";"6h par session (de l'aube à 12h)";"12 m";"3 (minimum)";"mi-mai à début juillet";"Subjectif/orienté";;"1"
88;88;"Point d'échantillonnage (filet)";"5/ha";"6h par session (de l'aube à 12h)";"12 m";"Avant/après l’action de gestion";"mi-mai à début juillet";"Subjectif/orienté";;"1"
89;89;"Point d'échantillonnage (filet)";"10 (6 filets sur 1 diagonale, et 4 filets sur l’autre diagonale)";"6h par session (de l'aube à 12h)";"12 m";"Avant/après l’action de gestion";"mi-mai à début juillet";"Subjectif/orienté";;"1"
91;91;"Point d'échantillonnage";"1 à 2/habitat";"10' d'écoute+20' de pêche";;"3";"15/02 au 15/03 (passage 1); 15/04 au 15/05 (passage 2); 01/06 au 30/06 (passage 3)";"Stratifié";;"1"
91002;91;"Itinéraire choisi";"1";"Parcouru lentement+5' de pause à mi-parcours";"50 m";"1";"15/04 au 15/05";"Subjectif/orienté";"Recherche à la torche";"2"
92;92;"Transect";"1 à 3 transects par site";"1,5j/site";;;;"Subjectif/orienté";;"1"
92002;92;"Carré (placette)";"5 à 20/transect";;"1 m2 (voire 0.25 m2)";"1";;"Systématique";;"2"
93;93;"Point d’observation ou transect";"3/site (minimum), idéalement 6";"6' (minimum)";"5 à 10 m de rayon / ou transect de 25 m de long";"2 à 3";"mai à septembre (selon site)";"Subjectif/orienté";"Les relevés se réaliseront entre 10h et 16h.";"1"
94;94;"Placette";;"1 à 2h";"1 ha";"3";"juin à septembre";"Subjectif/orienté";;"1"
95;95;"Transect (trottoir choisi)";"1";;;"Autant que souhaité";"printemps";"Subjectif/orienté";;"1"
96002;96;"Transect";"10/carré";"10'";"250 à 350 m";"2";"01/12 au 31/12 (passage 1); 01/01 au 31/01 (passage 2)";"Subjectif/orienté";"Le site de comptage est un carré de 2x2 km tiré au sort aléatoirement par l’équipe du CESCO au Muséum, dans un rayon de 10km autour de la commune indiquée par l’observateur.";"2"
97;97;"Point (fleur)";"1";"20'";;"Autant que souhaité";"Toute l’année";"Subjectif/orienté";;"1"
98;98;"Site";;"30' (minimum)";;"3/session, 2 à 3 sessions/an";"avant le 15/06; 16/06 au 31/07; après le 01/08";"Subjectif/orienté";;"1"
99;99;"Carré";;;"2x2 km";;;"Aléatoire simple";"1 carré prioritaire + 1 carré de substitution (les 2 peuvent être relevés)";"1"
99002;99;"Point (EPS)";"10";"5'";"rayon de détection";"2/an";"(si précoce : 03)
01/04 au 08/05
09/05 au 15/06
(si altitude : charnière au 15/05)";"Subjectif/orienté";"Tous les points sont à effectuer le même jour et dans le même ordre.
+ contraintes sur l’horaire";"2"
100;100;"Carré";;;"2x2 km";;;"Aléatoire simple";;"1"
100002;100;"Transect";"5 à 15";"10'";"50 à 400 m";"4/an (selon dispo)";"Mai à août
(voire avril à octobre)";"Subjectif/orienté";;"2"
102;102;"Carré";;;"2x2 km";;;"Aléatoire simple";"Dans un rayon de 10 Km autour de
l’habitation de l’observateur";"1"
102002;102;"Point";"10";"6'";;"2";"fin Juin-juillet et Août- Septembre";"Subjectif/orienté";;"2"
103;103;"Carré";;;"2x2 km";;;"Aléatoire simple";"Attribué par le MNHN, tirés aléatoirement à proximité de la commune demandée par l’observateur.
l’habitation de l’observateur";"1"
103002;103;"Point";"1 à 10";"nuit";;"2";"15/06 au 31/07; et 15/08 au 31/09";"Systématique";;"2"
104;104;"Carré";;;"2x2 km";;;"Aléatoire simple";"Dans un rayon de 10 Km autour de
l’habitation de l’observateur";"1"
104002;104;"Itinéraire choisi";"1";"1h à 1h30";"30 km";"2";"fin Juin-juillet et Août- Septembre";"Aléatoire simple";"L'itinéraire est divisé en tronçons de 2 km, alternant avec des tronçons de 1 Km. Seuls les tronçons de 2Km seront échantillonnés.";"2"
104003;104;"Tronçon";"10";;"2 km";;;"Systématique";"Rouler à une vitesse constante de 25± km/h.";"3"
105;105;"Carré";;;"1x1 km";;;"Systématique";;"1"
